London,11100000,1
Paris,9775000,1
Rome,3175000,1
Berlin,5061000,1
Madrid,4650000,1
Warsaw,2323000,1
Budapest,2565000,1
Sofia,1205000,1
Stockholm,1450000,1
Hong Kong,5396000,0
Tokyo,23620000,1
Beijing,10500000,1
Shanghai,9300000,1
Singapore,3025000,0
Manila,5474000,0
Bangkok,6450000,0
Jakarta,8600000,0
Kolkata,11100000,0
Mumbai,9950000,0
Delhi,7200000,0
Madras,4475000,0
Seoul,15850000,1
Teheran,6400000,1
Karachi,5300000,0
Cairo,9300000,1
Kinshasa,3000000,0
Johannesburg,3650000,-1
Casablanca,2475000,1
Mexico City,14100000,1
Bogota,4260000,1
Havana,2125000,0
Caracas,3600000,0
Lima,4344000,0
Santiago,4100000,-1
Buenos Aires,10750000,-1
Rio De Janeiro,10150000,0
Sao Paulo,15175000,0
Honolulu,762000,0
Sydney,3365000,-1
Melbourne,2833000,-1
Perth,995000,-1
Wellington,350000,-1
Montreal,2921000,1
New York,16472000,1
Los Angeles,9764000,1
Washington,3221000,1
Houston,2755000,1
Chicago,7717000,1
San Francisco,4054000,1
Atlanta,1962000,1
Lagos,3800000,0
Cape Town,1790000,-1
